Date,Open,High,Low,Close
07/01/1980,"114.93","115.45","113.54","114.93"
06/30/1980,"114.24","116.93","115.00","114.24"
06/27/1980,"116.00","116.93","115.00","116.00"
06/26/1980,"116.19","117.98","115.58","116.19"
06/25/1980,"116.72","117.37","115.07","116.72"
06/24/1980,"115.14","115.75","113.76","115.14"
06/23/1980,"114.51","115.28","113.35","114.51"
06/20/1980,"114.06","114.90","113.12","114.06"
06/19/1980,"114.66","116.81","114.36","114.66"
06/18/1980,"116.26","116.26","114.77","116.26"
06/17/1980,"116.03","116.80","114.78","116.03"
06/16/1980,"116.09","116.80","114.78","116.09"
06/13/1980,"115.81","116.94","114.67","115.81"
06/12/1980,"115.52","117.01","114.28","115.52"
06/11/1980,"116.02","116.64","114.22","116.02"
06/10/1980,"114.66","115.50","113.17","114.66"
06/09/1980,"113.71","114.51","112.68","113.71"
06/06/1980,"113.20","114.01","112.11","113.20"
06/05/1980,"112.78","114.38","111.89","112.78"
06/04/1980,"112.61","113.45","110.22","112.61"
06/03/1980,"110.51","111.63","109.77","110.51"
06/02/1980,"110.76","112.15","110.06","110.76"
05/30/1980,"111.24","111.55","108.87","111.24"
05/29/1980,"110.27","112.64","109.86","110.27"
05/28/1980,"112.06","112.71","110.42","112.06"
05/27/1980,"111.40","112.30","110.35","111.40"
05/23/1980,"110.62","111.37","109.01","110.62"
05/22/1980,"109.01","109.73","107.34","109.01"
05/21/1980,"107.72","108.31","106.54","107.72"
05/20/1980,"107.62","107.62","107.62","107.62"
05/19/1980,"107.67","107.67","107.67","107.67"
05/16/1980,"107.35","107.35","107.35","107.35"
05/15/1980,"106.99","106.99","106.99","106.99"
05/14/1980,"106.85","106.85","106.85","106.85"
05/13/1980,"106.30","106.30","106.30","106.30"
05/12/1980,"104.78","104.78","104.78","104.78"
05/09/1980,"104.72","104.72","104.72","104.72"
05/08/1980,"106.13","106.13","106.13","106.13"
05/07/1980,"107.18","107.18","107.18","107.18"
05/06/1980,"106.25","106.25","106.25","106.25"
05/05/1980,"106.38","106.38","106.38","106.38"
05/02/1980,"105.58","105.58","105.58","105.58"
05/01/1980,"105.46","105.46","105.46","105.46"
04/30/1980,"106.29","106.29","106.29","106.29"
04/29/1980,"105.86","105.86","105.86","105.86"
04/28/1980,"105.64","105.64","105.64","105.64"
04/25/1980,"105.16","105.16","105.16","105.16"
04/24/1980,"104.40","104.40","104.40","104.40"
04/23/1980,"103.73","103.73","103.73","103.73"
04/22/1980,"103.43","103.43","103.43","103.43"
04/21/1980,"99.80","99.80","99.80","99.80"
04/18/1980,"100.55","100.55","100.55","100.55"
04/17/1980,"101.05","101.05","101.05","101.05"
04/16/1980,"101.54","101.54","101.54","101.54"
04/15/1980,"102.63","102.63","102.63","102.63"
04/14/1980,"102.84","102.84","102.84","102.84"
04/11/1980,"103.79","103.79","103.79","103.79"
04/10/1980,"104.08","104.08","104.08","104.08"
04/09/1980,"103.11","103.11","103.11","103.11"
04/08/1980,"101.20","101.20","101.20","101.20"
04/07/1980,"100.19","100.19","100.19","100.19"
04/03/1980,"102.15","102.15","102.15","102.15"
04/02/1980,"102.68","102.68","102.68","102.68"
04/01/1980,"102.18","102.18","102.18","102.18"
03/31/1980,"102.09","102.09","102.09","102.09"
03/28/1980,"100.68","100.68","100.68","100.68"
03/27/1980,"98.22","98.22","98.22","98.22"
03/26/1980,"98.68","98.68","98.68","98.68"
03/25/1980,"99.19","99.19","99.19","99.19"
03/24/1980,"99.28","99.28","99.28","99.28"
03/21/1980,"102.31","102.31","102.31","102.31"
03/20/1980,"103.12","103.12","103.12","103.12"
03/19/1980,"104.31","104.31","104.31","104.31"
03/18/1980,"104.10","104.10","104.10","104.10"
03/17/1980,"102.26","102.26","102.26","102.26"
03/14/1980,"105.43","105.43","105.43","105.43"
03/13/1980,"105.62","105.62","105.62","105.62"
03/12/1980,"106.87","106.87","106.87","106.87"
03/11/1980,"107.78","107.78","107.78","107.78"
03/10/1980,"106.51","106.51","106.51","106.51"
03/07/1980,"106.90","106.90","106.90","106.90"
03/06/1980,"108.65","108.65","108.65","108.65"
03/05/1980,"111.13","111.13","111.13","111.13"
03/04/1980,"112.78","112.78","112.78","112.78"
03/03/1980,"112.50","112.50","112.50","112.50"
02/29/1980,"113.66","113.66","113.66","113.66"
02/28/1980,"112.35","112.35","112.35","112.35"
02/27/1980,"112.38","112.38","112.38","112.38"
02/26/1980,"113.98","113.98","113.98","113.98"
02/25/1980,"113.33","113.33","113.33","113.33"
02/22/1980,"115.04","115.04","115.04","115.04"
02/21/1980,"115.28","115.28","115.28","115.28"
02/20/1980,"116.47","116.47","116.47","116.47"
02/19/1980,"114.60","114.60","114.60","114.60"
02/15/1980,"115.41","115.41","115.41","115.41"
02/14/1980,"116.72","116.72","116.72","116.72"
02/13/1980,"118.44","118.44","118.44","118.44"
02/12/1980,"117.90","117.90","117.90","117.90"
02/11/1980,"117.12","117.12","117.12","117.12"
02/08/1980,"117.95","117.95","117.95","117.95"
02/07/1980,"116.28","116.28","116.28","116.28"
02/06/1980,"115.72","115.72","115.72","115.72"
02/05/1980,"114.66","114.66","114.66","114.66"
02/04/1980,"114.37","114.37","114.37","114.37"
