Date,Open,High,Low,Close
11/01/1982,"135.47","136.06","132.54","135.47"
10/29/1982,"133.71","134.82","131.67","133.71"
10/28/1982,"133.59","136.20","132.90","133.59"
10/27/1982,"135.28","136.95","133.56","135.28"
10/26/1982,"134.48","135.29","130.74","134.48"
10/25/1982,"133.32","136.97","132.54","133.32"
10/22/1982,"138.83","141.40","137.48","138.83"
10/21/1982,"139.06","144.38","136.76","139.06"
10/20/1982,"139.23","139.68","135.47","139.23"
10/19/1982,"136.58","138.81","134.93","136.58"
10/18/1982,"136.73","137.47","133.23","136.73"
10/15/1982,"133.57","135.30","132.05","133.57"
10/14/1982,"134.57","138.01","133.86","134.57"
10/13/1982,"136.71","137.14","134.25","136.71"
10/12/1982,"134.44","135.81","133.64","134.44"
10/11/1982,"134.47","135.48","132.63","134.47"
10/08/1982,"131.05","132.06","127.22","131.05"
10/07/1982,"128.81","139.27","126.80","128.81"
10/06/1982,"125.97","126.33","121.82","125.97"
10/05/1982,"121.98","123.42","121.00","121.98"
10/04/1982,"121.51","122.22","119.91","121.51"
10/01/1982,"121.97","122.46","119.13","121.97"
09/30/1982,"120.42","121.90","119.45","120.42"
09/29/1982,"121.63","123.47","120.71","121.63"
09/28/1982,"123.24","124.91","122.58","123.24"
09/27/1982,"123.62","124.20","122.08","123.62"
09/24/1982,"123.32","124.44","122.36","123.32"
09/23/1982,"123.81","124.92","122.21","123.81"
09/22/1982,"123.99","127.31","123.56","123.99"
09/21/1982,"124.88","125.27","122.16","124.88"
09/20/1982,"122.51","123.25","120.81","122.51"
09/17/1982,"122.55","124.27","121.82","122.55"
09/16/1982,"123.77","125.59","122.89","123.77"
09/15/1982,"124.29","124.69","122.06","124.29"
09/14/1982,"123.10","124.50","121.80","123.10"
09/13/1982,"122.24","122.66","119.60","122.24"
09/10/1982,"120.97","122.17","119.58","120.97"
09/09/1982,"121.97","123.85","121.00","121.97"
09/08/1982,"122.20","123.65","120.45","122.20"
09/07/1982,"121.37","123.30","120.39","121.37"
09/03/1982,"122.68","124.83","121.01","122.68"
09/02/1982,"120.28","120.90","117.16","120.28"
09/01/1982,"118.25","120.01","118.24","118.25"
08/31/1982,"119.51","120.45","117.11","119.51"
08/30/1982,"117.66","117.11","115.92","117.66"
08/27/1982,"117.11","118.89","115.94","117.11"
08/26/1982,"118.55","120.24","118.69","118.55"
08/25/1982,"117.58","118.78","114.56","117.58"
08/24/1982,"115.34","117.53","114.08","115.34"
08/23/1982,"116.11","116.69","111.98","116.11"
08/20/1982,"113.02","113.49","109.33","113.02"
08/19/1982,"109.16","110.67","107.35","109.16"
08/18/1982,"108.53","111.54","109.50","108.53"
08/17/1982,"109.04","109.33","104.32","109.04"
08/16/1982,"104.09","106.21","103.56","104.09"
08/13/1982,"103.85","104.27","101.88","103.85"
08/12/1982,"102.42","103.85","101.80","102.42"
08/11/1982,"102.60","102.88","102.51","102.60"
08/10/1982,"102.84","104.37","102.30","102.84"
08/09/1982,"103.08","103.76","101.44","103.08"
08/06/1982,"103.71","105.74","103.71","103.71"
08/05/1982,"105.16","106.35","104.23","105.16"
08/04/1982,"106.14","107.73","105.59","106.14"
