Date,Open,High,Low,Close
03/01/1991,"370.47","370.47","363.73","370.47"
02/28/1991,"367.07","369.91","365.95","367.07"
02/27/1991,"367.74","368.38","362.81","367.74"
02/26/1991,"362.81","367.26","362.19","362.81"
02/25/1991,"367.26","370.32","365.12","367.26"
02/22/1991,"365.65","370.96","364.23","365.65"
02/21/1991,"364.97","366.79","364.50","364.97"
02/20/1991,"365.14","369.39","364.38","365.14"
02/19/1991,"369.39","370.11","367.05","369.39"
02/15/1991,"369.06","369.49","364.22","369.06"
02/14/1991,"364.22","370.26","362.77","364.22"
02/13/1991,"369.02","369.49","364.64","369.02"
02/12/1991,"365.50","370.54","365.50","365.50"
02/11/1991,"368.58","368.58","359.32","368.58"
02/08/1991,"359.35","359.35","356.02","359.35"
02/07/1991,"356.52","363.43","355.53","356.52"
02/06/1991,"358.07","358.07","349.58","358.07"
02/05/1991,"351.26","351.84","347.21","351.26"
02/04/1991,"348.34","348.71","342.96","348.34"
02/01/1991,"343.05","344.90","340.37","343.05"
01/31/1991,"343.93","343.93","340.47","343.93"
01/30/1991,"340.91","340.91","335.69","340.91"
01/29/1991,"335.84","336.03","334.26","335.84"
01/28/1991,"336.03","337.41","335.81","336.03"
01/25/1991,"336.07","336.92","334.20","336.07"
01/24/1991,"334.78","335.83","330.19","334.78"
01/23/1991,"330.21","331.04","327.93","330.21"
01/22/1991,"328.31","331.26","327.83","328.31"
01/21/1991,"331.06","332.23","328.87","331.06"
01/18/1991,"332.23","332.23","327.08","332.23"
01/17/1991,"327.97","327.97","316.17","327.97"
01/16/1991,"316.17","316.94","312.94","316.17"
01/15/1991,"313.73","313.73","311.84","313.73"
01/14/1991,"312.49","315.23","309.35","312.49"
01/11/1991,"315.23","315.24","313.59","315.23"
01/10/1991,"314.53","314.77","311.49","314.53"
01/09/1991,"311.49","320.73","310.93","311.49"
01/08/1991,"314.90","316.97","313.79","314.90"
01/07/1991,"315.44","321.00","315.44","315.44"
01/04/1991,"321.00","322.35","318.87","321.00"
01/03/1991,"321.91","326.53","321.90","321.91"
01/02/1991,"326.45","330.75","326.45","326.45"
12/31/1990,"330.22","330.23","327.50","330.22"
12/28/1990,"328.72","328.72","327.24","328.72"
12/27/1990,"328.29","331.04","328.23","328.29"
12/26/1990,"330.85","331.69","329.89","330.85"
12/24/1990,"329.90","331.75","329.16","329.90"
